tweet	subtask_a	subtask_b	subtask_c
They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OFF	TIN	OTH
Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	OFF	TIN	IND
Someone should'veTaken"" this piece of shit to a volcano.	OFF	UNT	NULL
He is very skilled�	NOT	NULL	NULL
You are amazing 	NOT	NULL	NULL
You're disgusting, brain dead democrat	OFF	TIN	IND
This communist party of knows nothing and just fucks around   OFF	TIN	GRP
Fast and Furious Holder lol	NOT	NULL	NULL
A bitch built like that could beat my ass all she wants	OFF	TIN	IND
AI generates a video of a girl ageing from 5 years to 95 years and it’s so beautiful!	NOT	NULL	NULL	
That dumb rich friend every guy has	OFF	TIN	IND
